Title,Description,Subject (LCSH),Location,Date of Original,Physical Description,Local Location,Identifier,Filename
Three lumberman sitting in snow,Three unidentified Johnsburg lumberjacks at work.,Loggers,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 6 in. (12.7 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_001,ZWU_ARL081_001.jpg
John Grogan and family on lawn with two dogs,The Grogan family pose for a portrait with their dogs.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_002,ZWU_ARL081_002.jpg
"Frank Centerbar House, Johnsburg",Two members of the Centerbar family pose in front of their home with a work animal. A barn and other structure is visible to the left.,"Centerbar, Frank; Working animals; Frontier and pioneer life",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_003,ZWU_ARL081_003.jpg
"Fanning mill for buckwheat, Hank Hewitt log barn","Horse-powered fanning mill for buckwheat at Henry (Hank) Hewitt's log barn in the Town of Johnsburg. Children look on as the farmers work. During haying and harvesting, men gathered from neighboring farms to help one another and share equipment.",Agriculture,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_004,ZWU_ARL081_004.jpg
"Reverend Francis Putnam Farm House, barn, at base of Crane Mountain",The Putnam house and barn stand out in a wilderness beneath the foot of Crane Mountain.  Jeanne Robert Foster lived here as a child for three winters.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_005,ZWU_ARL081_005.jpg
"Woodland scene, Johnsburg",A view of dense forest in Johnburg. Mill Creek is visible on the right.,Landscape photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_006,ZWU_ARL081_006.jpg
Louis Suprenant House,"The Suprenant family and relations pose with horses and instruments in front of their home. Pictured left: father, Louis, holding black Canadian horse. Stoop left: daughter, Etta; cousin, Anna McGinn; son, Modeste with violin. Stoop right: wife, Emily; Mrs. Anna Larose: Minnie McGinn with son, William.","Suprenant, Louis; Suprenant, Etta; McGinn, Anna; McGinn, Modeste; Suprenant, Emily; Larose, Anna; McGinn, Minnie; McGinn, William",Minerva - Essex County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_007,ZWU_ARL081_007.jpg
Family group on Kingstown Road,Three generations of an unidentified Johnsburg family pose with their dog.,Portrait photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_008,ZWU_ARL081_008.jpg
Clark Fuller House and family,"The Fuller family poses in front of their home on Kenyontown Road in Johnsburg. A barn, horses and a buggy is visible in the background. A female family member holds up framed portraits, presumably of deceased relations.","Frontier and pioneer life; Fuller, Stuart; Fuller, Clark",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_009,ZWU_ARL081_009.jpg
Boy with cat,An unidentified child poses with his pet cat in front of a doorway.,Companion animals,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_010,ZWU_ARL081_010.jpg
Men stacking hemlock bark,"A stereogram image depicting a group of loggers stacking hemlock bark to ship or draw to tanneries. Millions of hemlocks were cut, the bark stripped, stacked, and shipped to be used in tanning leather. The rest of the tree was often left in the woods to return to the soil. ",Loggers; Logging,Warren County - New York,1885,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_011,ZWU_ARL081_011.jpg
View of Francis Putnam Farm near Crane Mountain,A landscape view which shows the stark environment in which the Farm was settled. The effects of logging are visible in the form of denuded patches of forest.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_012,ZWU_ARL081_012.jpg
Two children on Francis Putnam Farm,"Two girls on the Francis Putnam Farm in front of blackberry bushes in the yard. They are identified as the sister of Osmond Putnam, Mary Putnam Sprague and her cousin, Zuzu Richardson.","Putnam Sprague, Mary; Richardson, Zuzu",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_013,ZWU_ARL081_013.jpg
Keyon Family House,A house typical of the area with an attached building and a wall sweep. A mountain lies in the distance.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_014,ZWU_ARL081_014.jpg
Riverside Camp meeting ground,"A religious meeting ground showing small buildings set in the woods with a child, Mary Putnam, pictured center.","Religious camps; Putnam, Mary",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_015,ZWU_ARL081_015.jpg
Reverend Francis Putnam praying,An elderly Reverend Francis Putnam poses for a photograph in his yard.,"Religion; Putnam, Francis",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_016,ZWU_ARL081_016.jpg
Francis Putnam Farm at base of Crane Mountain,"The Putnam Farm, consisting of a frame house and a barn, sits at the bottom of a mountain amid tree stumps. The house was built from the cut timber on the farm.","Putnam, Francis",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_017,ZWU_ARL081_017.jpg
Julia Richardson Putnam,"Julia Richardson Putnam poses for a portrait outside of her home. Plants and a wooden fence are seen throughout the frame. Her garden, around 1 acre, was a showpiece and people came around for miles to watch it bloom.","Putnam, Julia",Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 3.5 x 5 in. (8.9 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_018,ZWU_ARL081_018.jpg
Francis Putnam House when first constructed,"Another view of the Putnam Farm showing the framehouse, a barn, and the remains of felled trees.",Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_019,ZWU_ARL081_019.jpg
Old locomotive at Riverside Station,"A picture of ""Major General Hancock,"" the first train of the Adirondack Railroad coming in at the North Creek railway station. A train on the siding reads ""Adirondack Company."" In front, passengers wait to board.",Railroad trains,North Creek - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_020,ZWU_ARL081_020.jpg
Anna Ross and cat,"Anna Ross poses with her cat. She is seated on the ice of Mill Creek Pond near the home of her parents, Charles and Amanda Ross.",Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_021,ZWU_ARL081_021.jpg
Anna and Clarence Ross,Anna Ross and her brother Clarence of Mill Creek Pond pose for a portrait in the snow.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_022,ZWU_ARL081_022.jpg
Local taxidermist in Johnsburg,A taxidermist and his family poses in front of a primitive log structure. The taxidermist stands with his rifle proudly displaying stuffed and mounted trophy animals.,Frontier and pioneer life; Taxidermy,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_023,ZWU_ARL081_023.jpg
Beaver meadow at ridge,An outdoor landscape showing a winter scene with a wooden fence in the foreground. Taken from the dooryard of the Francis Putnam House.,Landscape photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_024,ZWU_ARL081_024.jpg
Johnsburg farmhouse,Stone fences separate a series of wooden barns from the frame house on the left. Members of the family sit on the porch in the background along with working animals and a cart.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_025,ZWU_ARL081_025.jpg
Unidentified houses,Two frame houses sit on a dirt road while seven family members pose on the porch to the left. A small cemetery is visible to the right of the houses.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_026,ZWU_ARL081_026.jpg
Enos Putnam with team of horses,Enos Putnam and an unidentified child stand next to a team of horses pulling a cart in front of a house.,"Putnam, Enos O.",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_027,ZWU_ARL081_027.jpg
Suspension bridge at riverside,Four men pose in front of an impressive looking suspension bridge near the riverside.,Suspension bridges,,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_028,ZWU_ARL081_028.jpg
Camp meeting site,"Men, women and children gather in the woods in formal attire. A camp meeting site on Mill Creek outlet of Garnet Lake not Riverside Campground.",Social life and customs,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_029,ZWU_ARL081_029.jpg
View from ridge opposite Crane Mountain,View from the ridge opposite Crane Mountain looking to the country on the right bisected by Kenyontown Road. Small farms dot the landscape.,Landscape photography,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_031,ZWU_ARL081_031.jpg
Team of steers and horses in front of house,"Team of steers, horses and dog in front of a frame house in Johnsburg Corners. Two young boys stand by the animals.",Working animals; Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_031A,ZWU_ARL081_031A.jpg
Unidentified house,An unidentified family poses on the porch of their home. Wooden structures for farming are visible on the left.,Agriculture; Frontier and pioneer life,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_032,ZWU_ARL081_032.jpg
Olmsteadville,A landscape view of the Village of Olmsteadville.,Architecture,Olmsteadville - Essex County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_033,ZWU_ARL081_033.jpg
Mrs. Watson Bartman,Mrs. Watson Bartman poses while sitting on a chair in her home.,Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4.25 x 6.5 in. (10.8 x 16.5 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_035,ZWU_ARL081_035.jpg
Lily Bates,A portrait of Lily Bates. Possibly a copy of an earlier cased photograph.,"Bates, Lily",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_036,ZWU_ARL081_036.jpg
Unidentified child in Stony Creek,An unidentified child poses in an outdoor scene grasping a hand full of plants.,Portrait photography,Stony Creek - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_037,ZWU_ARL081_037.jpg
Stereoscope of scene in Johnsburg woods,A stereoscopic view of some woods and water.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_038,ZWU_ARL081_038.jpg
Scene near Corinth,"Landscape view of farms and homes near Corinth, NY.",Architecture,Corinth - Saratoga County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_039,ZWU_ARL081_039.jpg
Mill Creek Pond,View of Mill Creek taken from a height and looking out into farmland below.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_040,ZWU_ARL081_040.jpg
Stereoscope of scene in Johnsburg woods,Stereoscope view of some woods covered in snow.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_041,ZWU_ARL081_041.jpg
"Johnsburg woods, winter view","Another view of woods near Johnsburg covered in snow, perhaps to illustrate the effects of lumbering.",Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_042,ZWU_ARL081_042.jpg
School no. 11 on Mill Creek Road,School children pose outside of School No. 11 on Mill Creek Road during the winter. ,"Education, rural",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_043,ZWU_ARL081_043.jpg
Mary Putnam,"Mary Putnam, aged 5, in shed adjoining kitchen of old Francis Putnam House on Garnet Lake Road.","Putnam, Mary",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_044,ZWU_ARL081_044.jpg
Small mountains west of Crane Mountain,Mountainscape view taken from the Ridge (small mountain west of Crane) faced by Francis Putnam House toward Garnet Lake.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_045,ZWU_ARL081_045.jpg
"Ross family by log house, first view",Amanda and Charles Ross by their log house on Mill Creek Pond. Charles and Fred Ross later built a frame house that replaced this log structure.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_046,ZWU_ARL081_046.jpg
"Ross family by log house, second view","Amanda Ross with her son, Clarence.",Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_046A,ZWU_ARL081_046A.jpg
Logs in Hudson River,"A man poses in front of rough hewn logs by the Hudson River. Once the lumberjacks moved logs into the rivers, log drivers worked quickly to get them to mills in Glens Falls and Albany during the short period in spring when the Hudson River was at its highest.","Raparius, Warren; Logging",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_047,ZWU_ARL081_047.jpg
Shanty in Stone Creek,Lumberjacks pose in front of a shanty meant to house the men. Many men left their farms during winter to work in lumber camps.,Loggers; Logging,Stony Creek - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_048,ZWU_ARL081_048.jpg
Log house and family above Putnam Farm,The Bates pose in front of their log home and barn near Crane Mountain. Tree stumps are evidence of where the wood to construct the buildings originated from.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_049,ZWU_ARL081_049.jpg
Woman in basque dress,A portrait of a woman in a basque dress sitting against the background of cleared land.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4.5 x 5 in. (11.4 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_050,ZWU_ARL081_050.jpg
"Log house, Kenyontown Road",Two fenced in log structures on Kenyontown Road.,Frontier and pioneer life,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 3.5 x 5 in. (8.9 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_051,ZWU_ARL081_051.jpg
Reverend Watson Bartman,Portrait of Reverend Bartman in his home.,"Bartman, Watson",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4.5 x 6 in. (11.4 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_052,ZWU_ARL081_052.jpg
Wife of Reverend Watson Bartman,Portrait of Mrs. Bartman in her home.,Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4.5 x 6 in. (11.4 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_052A,ZWU_ARL081_052A.jpg
Wonderful family in Johnsburg,Wonderful family portrait in front of rough wooden fences and land in the process of being cleared in the background.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_053,ZWU_ARL081_053.jpg
Joanna Lavery and son William,"A portrait of Joanna Lavery and her son William Lavery, taken in their garden. ","Lavery, Joanna; Lavery, William",Olmsteadville - Essex County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_054,ZWU_ARL081_054.jpg
Joanna and William Lavery House,Six members of the Lavery family pose outside their home near Olmsteadville. ,"Lavery, Joanna; Lavery, William",Olmsteadville - Essex County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_055,ZWU_ARL081_055.jpg
Sarah Grogan,"A portrait of Miss Sarah Grogan, perhaps a copy made from an earlier cased photograph.","Grogan, Sarah",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 4.5 x 6 in. (11.4 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_056,ZWU_ARL081_056.jpg
Scene of Johnsburg Creek,Portrait of Mill Creek near Johnsburg Corners. Johnsburg woods were renowned for their beauty until lumbering destroyed the landscape.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_057,ZWU_ARL081_057.jpg
Lower spur of Crane Mountain and Putnam House,"Landscape showing the lower spur of Crane Mountain and Putnam house, taken from the Ridge.",Frontier and pioneer life,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_058,ZWU_ARL081_058.jpg
Garnet Lake,"A view of Mill Creek Pond, now Garnet Lake, showing the ravages of deforestation from logging.",Environmental degradation; Logging,,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_059,ZWU_ARL081_059.jpg
"Francis Putnam family, Julia, Mary, Elliot, Osmond
and Reverend Putnam",Members of the Francis Putnam family pose for a portrait in their yard.,"Putnam, Francis; Putnam, Julia; Putnam, Elliot; Putnam, Osmond",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_060,ZWU_ARL081_060.jpg
"Riverside camp meeting cottage, prayer meeting tent
to left","Riverside Camp meeting cottage, shared by Reverend Francis Putnam with families on the stoop. The the left is a prayer meeting tent.",Religious camps,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 1",ZWU_ARL081_061,ZWU_ARL081_061.jpg
